customer_id,age,gender,city,income,customer_segment,purchase_date,product_category,product_price,quantity,total_spent,payment_method,purchase_channel,loyalty_member
1000,43,Female,Hyderabad,46344,High,2025-11-01,Fashion,23779,3,71337,UPI,Offline,Yes
1001,45,Female,Chennai,37896,Low,2025-05-15,Grocery,31206,4,124824,Cash,Online,No
1002,54,Female,Mumbai,36341,High,2026-01-30,Electronics,1310,2,2620,Cash,Online,Yes
1003,54,Female,Kolkata,33646,Low,2025-07-17,Home,49359,5,246795,Card,Offline,Yes
1004,30,Male,Bangalore,61643,High,2026-02-12,Fashion,32080,4,128320,UPI,Offline,Yes
1005,46,Female,Bangalore,58250,Medium,2025-09-11,Home,44473,3,133419,UPI,Online,No
1006,36,Male,Hyderabad,46449,Low,2026-03-11,Home,19286,1,19286,Cash,Online,No
1007,55,Male,Hyderabad,31520,Medium,2025-12-10,Beauty,45666,2,91332,UPI,Online,Yes
1008,28,Male,Mumbai,20592,Medium,2026-02-13,Beauty,9791,2,19582,UPI,Offline,Yes
1009,24,Female,Bangalore,93958,Medium,2025-07-23,Electronics,13766,1,13766,Cash,Online,Yes
1010,30,Female,Chennai,84072,Medium,2026-02-09,Fashion,32886,2,65772,UPI,Offline,No
1011,19,Female,Chennai,76371,Medium,2025-05-17,Beauty,43241,2,86482,UPI,Offline,Yes
1012,58,Female,Bangalore,98786,Medium,2025-05-02,Home,42249,2,84498,UPI,Offline,Yes
1013,58,Male,Kolkata,52528,Medium,2026-02-20,Home,17614,1,17614,Cash,Offline,No
1014,34,Male,Delhi,91965,Medium,2026-02-13,Home,22422,1,22422,UPI,Online,No
1015,35,Male,Bangalore,22720,Low,2025-08-10,Home,42189,4,168756,Cash,Online,Yes
1016,46,Male,Hyderabad,33266,Medium,2026-01-16,Home,16811,3,50433,UPI,Online,No
1017,42,Female,Kolkata,63578,Low,2025-10-24,Home,28667,1,28667,Card,Offline,Yes
1018,42,Male,Bangalore,47943,Low,2025-12-13,Grocery,1932,4,7728,UPI,Offline,Yes
1019,30,Male,Hyderabad,75217,Low,2025-08-22,Beauty,47149,3,141447,UPI,Online,No
1020,48,Female,Mumbai,87189,Medium,2025-07-08,Electronics,24563,3,73689,Cash,Offline,No
1021,46,Female,Delhi,38609,Medium,2026-03-13,Fashion,36218,5,181090,Card,Online,No
1022,36,Female,Kolkata,30183,High,2025-12-30,Fashion,23421,4,93684,UPI,Online,Yes
1023,53,Female,Chennai,65344,Medium,2025-08-19,Electronics,28504,5,142520,UPI,Offline,Yes
1024,46,Female,Kolkata,34311,Medium,2026-03-26,Grocery,14447,1,14447,UPI,Online,No
1025,44,Female,Kolkata,52107,Medium,2025-05-19,Electronics,37216,2,74432,Card,Offline,Yes
1026,36,Male,Hyderabad,46966,High,2026-01-21,Home,6565,3,19695,Card,Online,No
1027,43,Male,Chennai,56487,Low,2025-12-03,Electronics,48108,3,144324,UPI,Online,No
1028,48,Female,Delhi,69173,Low,2026-03-11,Electronics,5996,4,23984,UPI,Offline,Yes
1029,54,Male,Delhi,54524,Low,2025-08-06,Grocery,45087,2,90174,Cash,Online,No
1030,30,Male,Chennai,40227,High,2025-12-14,Grocery,39293,1,39293,Card,Offline,No
1031,46,Female,Hyderabad,71720,Medium,2025-11-24,Electronics,36844,4,147376,Card,Online,Yes
1032,21,Female,Hyderabad,35209,Medium,2025-04-30,Electronics,11898,4,47592,Card,Offline,No
1033,26,Female,Kolkata,78718,High,2025-05-08,Grocery,21303,2,42606,Cash,Offline,Yes
1034,20,Male,Bangalore,85070,Medium,2026-01-31,Electronics,48949,4,195796,Cash,Online,No
1035,36,Male,Hyderabad,69074,High,2025-06-02,Fashion,41206,1,41206,Card,Offline,Yes
1036,30,Male,Chennai,57455,Low,2026-03-02,Beauty,10203,3,30609,Cash,Online,No
1037,20,Female,Chennai,54764,High,2026-03-27,Grocery,2254,3,6762,Cash,Online,Yes
1038,31,Female,Hyderabad,73177,High,2025-06-12,Electronics,465,5,2325,Cash,Online,No
1039,32,Female,Chennai,85444,Medium,2026-01-17,Home,20164,1,20164,Card,Offline,Yes
1040,53,Male,Chennai,68472,Low,2025-09-30,Grocery,48262,4,193048,Card,Online,Yes
1041,56,Female,Chennai,73450,Medium,2025-09-07,Electronics,13374,3,40122,Cash,Offline,Yes
1042,38,Male,Delhi,61514,Medium,2026-02-03,Fashion,19342,3,58026,Cash,Online,No
1043,21,Male,Bangalore,52018,High,2026-01-21,Grocery,15223,4,60892,Cash,Offline,Yes
1044,45,Male,Chennai,20808,High,2025-12-01,Grocery,26360,4,105440,Cash,Offline,Yes
1045,32,Male,Mumbai,81744,Medium,2025-06-29,Beauty,32393,5,161965,UPI,Offline,Yes
1046,41,Male,Chennai,61021,High,2025-10-29,Beauty,16730,5,83650,UPI,Online,No
1047,57,Female,Kolkata,60375,Medium,2026-01-27,Home,31651,5,158255,Cash,Online,Yes
1048,31,Female,Kolkata,93635,High,2026-01-14,Fashion,32782,3,98346,Card,Online,Yes
1049,40,Male,Hyderabad,34663,Medium,2026-04-10,Beauty,6014,3,18042,UPI,Offline,No
1050,55,Female,Hyderabad,83301,High,2026-02-18,Grocery,43558,1,43558,Card,Online,No
1051,19,Female,Bangalore,71875,High,2025-11-05,Home,11771,2,23542,UPI,Online,Yes
1052,53,Female,Chennai,82225,High,2025-09-09,Electronics,24144,3,72432,Cash,Offline,Yes
1053,25,Female,Mumbai,73736,Medium,2025-10-02,Grocery,15798,4,63192,Card,Offline,Yes
1054,59,Male,Kolkata,77507,High,2025-10-26,Electronics,8516,1,8516,Cash,Offline,Yes
1055,31,Female,Kolkata,55642,High,2026-02-05,Electronics,16061,1,16061,UPI,Online,No
1056,44,Male,Chennai,92556,Low,2026-04-20,Grocery,15350,2,30700,Card,Offline,No
1057,20,Female,Kolkata,45621,High,2025-08-15,Home,11959,2,23918,UPI,Offline,Yes
1058,57,Male,Mumbai,39295,Low,2026-01-02,Fashion,10922,5,54610,Cash,Offline,Yes
1059,18,Male,Delhi,55125,Low,2025-07-17,Home,2209,1,2209,Card,Online,Yes
1060,23,Female,Chennai,65801,Medium,2025-07-12,Electronics,35752,4,143008,UPI,Offline,No
1061,24,Female,Mumbai,78233,High,2025-08-06,Fashion,49661,2,99322,UPI,Offline,No
1062,19,Male,Kolkata,98317,High,2025-10-07,Home,11263,2,22526,UPI,Online,Yes
1063,59,Female,Hyderabad,67158,Low,2025-09-27,Home,45496,1,45496,Card,Offline,No
1064,43,Female,Delhi,77222,Medium,2025-08-28,Home,46631,5,233155,Card,Offline,No
1065,24,Female,Bangalore,61390,Medium,2025-09-09,Grocery,4431,2,8862,Card,Online,Yes
1066,26,Female,Delhi,26687,Low,2026-01-28,Fashion,30521,3,91563,Card,Offline,No
1067,23,Male,Hyderabad,95500,Low,2025-05-31,Fashion,38518,4,154072,Card,Offline,Yes
1068,32,Female,Kolkata,85919,Low,2026-04-19,Grocery,8817,1,8817,Cash,Online,No
1069,20,Female,Hyderabad,68993,High,2025-09-02,Electronics,26041,1,26041,Card,Online,No
1070,39,Female,Kolkata,51767,High,2026-04-03,Home,44802,3,134406,UPI,Online,Yes
1071,21,Female,Kolkata,74526,High,2025-11-10,Electronics,30018,4,120072,Cash,Online,No
1072,47,Male,Kolkata,72881,High,2025-11-26,Beauty,44044,3,132132,UPI,Online,Yes
1073,46,Female,Mumbai,41102,High,2025-07-20,Home,4805,5,24025,Cash,Online,Yes
1074,38,Male,Hyderabad,96060,High,2026-01-19,Electronics,2361,2,4722,Card,Online,No
1075,44,Female,Delhi,75302,Medium,2026-01-12,Electronics,3319,1,3319,UPI,Offline,No
1076,41,Female,Chennai,48414,High,2026-02-19,Beauty,48959,1,48959,Card,Online,Yes
1077,39,Male,Chennai,45898,Low,2026-03-11,Fashion,31196,1,31196,Card,Online,Yes
1078,57,Male,Bangalore,98586,High,2025-12-16,Home,23390,4,93560,Cash,Offline,No
1079,32,Female,Bangalore,52704,Low,2025-12-29,Fashion,3961,3,11883,UPI,Online,Yes
1080,31,Male,Kolkata,83088,Medium,2025-04-28,Home,20039,4,80156,Card,Offline,No
1081,58,Female,Mumbai,73552,Low,2025-09-27,Home,42551,3,127653,Cash,Offline,No
1082,25,Male,Mumbai,44515,Low,2025-09-12,Home,44730,4,178920,Cash,Online,Yes
1083,50,Male,Mumbai,93978,Low,2025-08-25,Grocery,13937,5,69685,Cash,Online,No
1084,29,Male,Chennai,45531,High,2025-10-15,Beauty,49225,5,246125,UPI,Offline,Yes
1085,37,Female,Bangalore,87188,Low,2025-06-07,Grocery,32420,2,64840,UPI,Online,Yes
1086,31,Male,Delhi,38109,Medium,2025-11-13,Home,19329,5,96645,Cash,Online,No
1087,34,Female,Hyderabad,29823,High,2025-04-30,Beauty,31528,2,63056,Card,Online,Yes
1088,40,Female,Delhi,29589,Medium,2026-02-05,Electronics,3655,3,10965,Card,Online,Yes
1089,55,Female,Chennai,99864,Low,2025-05-26,Home,1060,1,1060,UPI,Online,Yes
1090,44,Female,Mumbai,75432,High,2025-11-18,Electronics,18398,1,18398,Card,Offline,No
1091,31,Female,Kolkata,94744,High,2026-01-16,Fashion,40597,5,202985,UPI,Offline,No
1092,21,Female,Chennai,72220,Medium,2025-07-05,Beauty,31114,3,93342,Card,Offline,Yes
1093,53,Female,Delhi,51046,Medium,2025-05-02,Grocery,20576,2,41152,Card,Offline,Yes
1094,24,Female,Delhi,63691,Low,2025-11-21,Fashion,27906,4,111624,UPI,Online,No
1095,40,Female,Chennai,36587,Medium,2025-07-03,Home,1759,1,1759,Card,Online,Yes
1096,32,Female,Bangalore,81477,Low,2025-08-21,Electronics,9719,1,9719,Card,Online,Yes
1097,54,Male,Mumbai,71863,Low,2026-01-20,Beauty,47056,4,188224,UPI,Online,No
1098,31,Male,Kolkata,39385,Medium,2026-01-13,Electronics,31743,4,126972,Cash,Online,No
1099,38,Male,Kolkata,48482,High,2026-02-02,Fashion,45385,4,181540,UPI,Offline,Yes
1100,57,Male,Hyderabad,53417,Low,2025-07-22,Electronics,45330,2,90660,UPI,Offline,Yes
1101,20,Female,Mumbai,71122,Low,2026-04-05,Beauty,47585,5,237925,UPI,Offline,Yes
1102,26,Male,Chennai,29587,High,2025-10-09,Home,2458,3,7374,Cash,Online,No
1103,22,Male,Mumbai,64593,Medium,2026-04-18,Electronics,21523,1,21523,Cash,Offline,No
1104,57,Male,Bangalore,97622,Medium,2025-07-04,Fashion,36386,1,36386,Card,Offline,Yes
1105,37,Male,Hyderabad,75775,Medium,2025-05-19,Electronics,36266,3,108798,Card,Online,No
1106,23,Male,Delhi,59912,Medium,2025-08-17,Fashion,42435,5,212175,Card,Online,No
1107,50,Female,Mumbai,26644,Medium,2025-06-26,Fashion,23652,3,70956,Cash,Offline,No
1108,20,Male,Delhi,32377,Medium,2025-12-26,Fashion,14421,4,57684,Cash,Offline,No
1109,20,Male,Delhi,53793,High,2025-05-12,Fashion,26432,1,26432,Cash,Offline,No
1110,39,Female,Kolkata,77786,High,2025-11-26,Electronics,37830,1,37830,UPI,Offline,Yes
1111,58,Female,Bangalore,60878,Medium,2025-10-03,Home,10220,4,40880,Card,Online,No
1112,40,Male,Bangalore,71509,High,2025-12-27,Home,20014,2,40028,Card,Online,No
1113,48,Female,Bangalore,65963,High,2026-03-09,Home,41421,3,124263,UPI,Offline,Yes
1114,58,Male,Kolkata,28819,Low,2026-01-05,Home,37303,5,186515,Cash,Online,Yes
1115,31,Female,Bangalore,90564,Medium,2026-03-09,Grocery,5208,1,5208,Card,Online,No
1116,35,Female,Hyderabad,85064,Low,2026-01-12,Home,18423,1,18423,UPI,Offline,Yes
1117,27,Male,Chennai,26667,Low,2026-04-22,Grocery,21058,3,63174,Cash,Offline,Yes
1118,50,Male,Chennai,41005,Low,2025-10-31,Home,49610,2,99220,Cash,Offline,No
1119,41,Female,Hyderabad,49115,High,2025-08-29,Home,35137,1,35137,Card,Online,No
1120,35,Male,Mumbai,75245,Low,2026-01-21,Electronics,49639,2,99278,Card,Online,Yes
1121,31,Female,Hyderabad,72970,High,2026-02-07,Home,10556,4,42224,Card,Online,Yes
1122,59,Male,Hyderabad,90872,Low,2025-06-01,Home,2169,3,6507,Cash,Online,No
1123,43,Male,Bangalore,96899,Low,2025-09-10,Grocery,36416,1,36416,UPI,Online,No
1124,29,Male,Hyderabad,27719,Low,2025-12-10,Beauty,45582,5,227910,Card,Offline,No
1125,32,Female,Hyderabad,90539,Low,2025-10-18,Home,32138,4,128552,UPI,Offline,Yes
1126,55,Female,Delhi,47846,Medium,2025-09-08,Fashion,18405,3,55215,UPI,Offline,Yes
1127,40,Female,Chennai,77917,High,2025-11-20,Home,15577,2,31154,Card,Online,Yes
1128,59,Male,Bangalore,58023,Medium,2026-03-03,Fashion,18656,5,93280,Cash,Online,No
